,S1a,S1b,S2a,S2b,S3a,S3b,time
291,6.8261905,6.5688825,4.5775623,2.6094353,4.18438,4.0161138,29.1
292,6.7655506,7.481226,4.7807717,4.5840354,4.9506426,3.8467762,29.200000000000003
293,7.182648,7.0169086,4.938723,4.499374,4.0132356,4.184154,29.3
294,5.1227484,6.3753676,4.5646577,3.9171913,4.308602,4.74701,29.400000000000002
295,5.8409166,6.3036795,4.240493,4.8442655,4.596549,3.7452655,29.5
296,6.4570417,6.186552,4.5425797,3.6673973,3.8320742,3.9981174,29.6
297,6.8281364,6.548518,4.4448977,5.0817156,3.9255764,4.2075915,29.700000000000003
298,5.8317943,7.207819,4.8657317,4.5427556,3.8223145,3.4104133,29.8
299,5.7055445,6.749149,4.3588667,4.4795856,4.4454184,4.0531363,29.900000000000002
300,6.1012483,6.5288186,4.1551557,3.5743408,4.2132454,3.6261728,30.0
301,6.7319555,6.832823,4.660736,3.8596342,4.2672353,4.111707,30.1
302,6.1841865,6.9554787,5.113497,4.528994,4.6072845,4.1715803,30.200000000000003
303,6.896719,6.710896,5.045221,4.014837,3.9069843,3.7154782,30.3
304,5.9224153,6.7417107,5.08775,4.385795,5.1304345,3.8911226,30.400000000000002
305,5.8552413,6.7262454,4.5013814,3.892202,4.971182,3.9947925,30.5
306,6.1504154,6.571535,4.333106,4.3786864,5.304933,4.0264215,30.6
307,6.2764854,6.904994,4.3689256,4.04157,3.7774887,4.396099,30.700000000000003
308,6.0747232,6.8752933,3.6590648,5.2941175,3.5811005,3.4665132,30.8
309,5.633593,7.315998,3.720046,3.5916708,4.539189,3.6600473,30.900000000000002
310,7.085376,7.0239835,4.60754,3.73037,4.626383,3.468935,31.0
311,5.502178,6.3848906,5.0973825,3.9523818,5.242803,3.6242983,31.1
312,7.8851156,6.172416,4.949458,4.099636,5.794072,3.757558,31.200000000000003
313,6.6249866,6.0317616,4.5743504,4.3199196,5.1778936,4.381074,31.3
314,5.6197953,6.2914343,4.7036195,5.0336,4.177412,4.5968137,31.400000000000002
315,6.5730095,6.564305,5.183926,4.3160944,4.2465653,4.3441315,31.5
316,6.392503,6.7224665,4.6073003,4.108011,5.0026293,3.8724375,31.6
317,6.1400056,7.238259,4.691475,4.3321524,3.7906442,4.0515523,31.700000000000003
318,6.912453,7.1224585,4.952871,3.454967,4.6021886,4.9345236,31.8
319,6.905689,7.1280837,4.741978,4.4443846,4.544984,3.9731648,31.900000000000002
320,5.62204,7.0386524,4.046618,3.516209,4.201124,4.250222,32.0
321,6.377899,6.5059233,4.85681,4.9278917,4.530586,5.131476,32.1
322,6.2390223,6.759877,4.3134613,4.7875,4.703975,4.566898,32.2
323,6.709712,7.027521,4.898589,3.8020084,4.962783,4.391022,32.300000000000004
324,6.2765574,6.798355,5.025161,4.7169023,4.6844583,4.191725,32.4
325,7.269072,7.4191284,4.303114,4.5287256,3.8689458,4.205868,32.5
326,5.59937,6.8109884,4.9067836,3.9331865,3.918088,4.111568,32.6
327,6.3358946,6.218096,4.6780105,4.8156185,4.9645715,5.6070147,32.7
328,6.3376946,6.4915175,5.0607996,4.3928356,4.90921,4.3243966,32.800000000000004
329,6.732471,6.8243704,4.47247,3.6093905,5.8417425,3.8846574,32.9
330,6.015031,6.4669247,4.891896,3.8368642,3.9902086,4.0110826,33.0
331,6.11609,5.7888956,4.9848228,3.673995,3.773419,4.403943,33.1
332,6.124707,6.765683,4.4151626,3.7504072,3.9368339,4.1747036,33.2
333,6.435808,7.247786,4.8628845,4.9235992,4.711249,3.5416527,33.300000000000004
334,6.8152943,5.770751,4.9075356,5.4290347,4.13105,4.241176,33.4
335,6.4327855,6.5817823,4.121848,5.69649,4.0201454,3.875022,33.5
